MSZoning,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,BldgType,HouseStyle,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,SaleType,SaleCondition,SalePrice,HomeAge,HasRemodAdd,GenQual,HasProxArtery,HasProxFeedr,HasProxRRNn,HasProxRRAn,HasProxPosN,HasProxPosA,HasProxRRNe,HasProxRRAe
RM,6120,Pave,NoAlley,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,1Fam,1.5Unf,8,Gable,CompShg,Wd Sdng,Wd Sdng,3,BrkTil,TA,TA,No,Unf,0,Unf,0,832,GasA,5,Y,FuseA,854,0,0,854,0,0,1,0,2,1,8,0,NoFireplace,Detchd,Unf,2,TA,TA,Y,48,112,0,0,0,0,NoPool,GdPrv,NoMiscFeature,0,WD,Normal,132000,94,1,63,0,0,0,0,0,0,0,0
RL,11241,Pave,NoAlley,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,1Fam,1Story,7,Gable,CompShg,Wd Sdng,Wd Sdng,3,CBlock,TA,TA,No,ALQ,578,Unf,0,426,GasA,5,Y,SBrkr,1004,0,0,1004,1,0,1,0,2,1,8,1,TA,Attchd,Fin,2,TA,TA,Y,0,0,0,0,0,0,NoPool,NoFence,Shed,700,WD,Normal,149000,53,0,54,0,0,0,0,0,0,0,0
RL,10791,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Duplex,1Story,5,Gable,CompShg,MetalSd,MetalSd,3,Slab,NoBsmt,NoBsmt,NoBsmt,NoBsmt,0,NoBsmt,0,0,GasA,3,Y,SBrkr,1296,0,0,1296,0,0,2,0,2,2,8,0,NoFireplace,CarPort,Unf,2,TA,TA,Y,0,0,0,0,0,0,NoPool,NoFence,Shed,500,WD,Normal,90000,56,0,36,0,0,0,0,0,0,0,0
RL,13695,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,1Fam,1Story,5,Gable,CompShg,VinylSd,VinylSd,3,PConc,TA,TA,No,GLQ,646,Unf,0,468,GasA,5,Y,SBrkr,1114,0,0,1114,1,0,1,1,3,1,8,0,NoFireplace,Detchd,Unf,2,TA,TA,Y,0,102,0,0,0,0,NoPool,NoFence,NoMiscFeature,0,WD,Normal,159000,19,0,60,0,0,0,0,0,0,0,1
RL,7560,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1Fam,1Story,6,Hip,CompShg,BrkFace,Plywood,3,CBlock,TA,TA,No,LwQ,504,Unf,0,525,GasA,3,Y,SBrkr,1339,0,0,1339,0,0,1,0,3,1,7,0,NoFireplace,Attchd,Unf,1,TA,TA,Y,0,0,0,0,0,0,NoPool,MnPrv,NoMiscFeature,0,COD,Abnorml,139000,65,1,45,0,0,0,0,0,0,0,0
RL,14215,Pave,NoAlley,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,1Fam,2Story,5,Gable,CompShg,VinylSd,VinylSd,3,PConc,Ex,TA,Av,Unf,0,Unf,0,1158,GasA,5,Y,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,8,1,Gd,BuiltIn,RFn,3,TA,TA,Y,240,154,0,0,0,0,NoPool,NoFence,NoMiscFeature,0,New,Partial,325300,18,1,128,0,0,0,0,0,0,0,0
RM,7449,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,1Fam,1.5Unf,7,Gable,CompShg,Wd Sdng,Wd Sdng,3,PConc,TA,TA,No,Unf,0,Unf,0,637,GasA,5,Y,FuseF,1108,0,0,1108,0,0,1,0,3,1,8,1,Gd,Attchd,Unf,1,TA,TA,N,0,0,205,0,0,0,NoPool,GdPrv,NoMiscFeature,0,WD,Normal,139400,93,1,84,0,0,0,0,0,0,0,0
RL,9742,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,1Fam,1Story,5,Hip,CompShg,VinylSd,VinylSd,3,PConc,Gd,TA,No,Unf,0,Unf,0,1777,GasA,5,Y,SBrkr,1795,0,0,1795,0,0,2,0,3,1,8,1,Gd,Attchd,RFn,2,TA,TA,Y,171,159,0,0,0,0,NoPool,NoFence,NoMiscFeature,0,WD,Normal,230000,21,0,128,0,0,0,0,0,0,0,0
RM,4224,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,TwnhsE,1Story,7,Gable,CompShg,CemntBd,CmentBd,3,PConc,Gd,TA,No,GLQ,840,Unf,0,200,GasA,3,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,8,1,TA,Attchd,Unf,2,TA,TA,Y,100,110,0,0,0,0,NoPool,NoFence,NoMiscFeature,0,WD,Normal,129900,47,0,45,0,0,0,0,0,0,0,0
RL,8246,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,1Fam,1Story,8,Gable,CompShg,Plywood,Plywood,4,CBlock,TA,TA,Mn,Rec,188,ALQ,668,204,GasA,5,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,8,1,TA,Attchd,Unf,1,TA,TA,Y,406,90,0,0,0,0,NoPool,MnPrv,NoMiscFeature,0,WD,Normal,154000,55,1,60,0,0,0,0,0,0,0,0
RL,14230,Pave,NoAlley,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,1Fam,1Story,5,Gable,CompShg,VinylSd,VinylSd,3,PConc,Gd,TA,No,Unf,0,Unf,0,1566,GasA,5,Y,SBrkr,1600,0,0,1600,0,0,2,0,3,1,8,1,Gd,Attchd,RFn,3,TA,TA,Y,0,56,0,0,0,0,NoPool,NoFence,NoMiscFeature,0,WD,Normal,256300,16,0,128,0,0,0,0,0,0,0,0
RL,7200,Pave,NoAlley,Reg,Lvl,AllPub,Corner,Gtl,NAmes,1Fam,1Story,7,Gable,CompShg,Wd Sdng,Wd Sdng,3,CBlock,TA,TA,Mn,BLQ,234,Rec,486,180,GasA,3,Y,SBrkr,900,0,0,900,0,1,1,0,3,1,8,0,NoFireplace,Detchd,Unf,2,TA,TA,Y,222,32,0,0,0,0,NoPool,NoFence,NoMiscFeature,0,WD,Normal,134800,72,1,60,0,0,0,0,0,0,0,0
RL,11478,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,1Fam,1Story,5,Gable,CompShg,VinylSd,VinylSd,3,PConc,Ex,TA,No,GLQ,1218,Unf,0,486,GasA,5,Y,SBrkr,1704,0,0,1704,1,0,2,0,3,1,8,1,Gd,Attchd,RFn,3,TA,TA,Y,0,50,0,0,0,0,NoPool,NoFence,NoMiscFeature,0,WD,Normal,306000,16,1,128,0,0,0,0,0,0,0,0
RL,16321,Pave,NoAlley,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,1Fam,1Story,6,Gable,CompShg,MetalSd,MetalSd,3,CBlock,TA,TA,Gd,BLQ,1277,Unf,0,207,GasA,3,Y,SBrkr,1600,0,0,1600,1,0,1,0,2,1,8,2,Gd,Attchd,RFn,1,TA,TA,Y,288,258,0,0,0,0,NoPool,NoFence,NoMiscFeature,0,WD,Normal,207500,66,1,45,0,0,0,0,0,0,0,0
RM,6324,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,1Fam,1Story,6,Gable,CompShg,MetalSd,MetalSd,3,BrkTil,TA,TA,No,Unf,0,Unf,0,520,GasA,2,N,SBrkr,520,0,0,520,0,0,1,0,1,1,8,0,NoFireplace,Detchd,Unf,1,Fa,TA,Y,49,0,87,0,0,0,NoPool,NoFence,NoMiscFeature,0,WD,Normal,68500,96,1,24,0,1,1,0,0,0,0,0
C (all),8500,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,1Fam,2Story,4,Gambrel,CompShg,BrkFace,BrkFace,2,BrkTil,TA,TA,No,Unf,0,Unf,0,649,GasA,3,N,SBrkr,649,668,0,1317,0,0,1,0,3,1,8,0,NoFireplace,Detchd,Unf,1,TA,Fa,N,0,54,172,0,0,0,NoPool,MnPrv,NoMiscFeature,0,WD,Normal,40000,103,1,36,0,1,0,0,0,0,0,0
RL,8544,Pave,NoAlley,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,1Fam,1Story,6,Gable,CompShg,HdBoard,HdBoard,3,CBlock,TA,TA,No,Unf,0,Unf,0,1228,GasA,4,Y,SBrkr,1228,0,0,1228,0,0,1,1,3,1,8,0,NoFireplace,Attchd,Unf,1,TA,TA,Y,0,65,0,0,0,0,NoPool,MnPrv,NoMiscFeature,0,WD,Normal,149350,57,1,60,0,0,0,0,0,0,0,0
RL,11049,Pave,NoAlley,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,1Fam,1Story,5,Gable,CompShg,VinylSd,VinylSd,3,PConc,Ex,TA,Av,Unf,0,Unf,0,1234,GasA,5,Y,SBrkr,1234,0,0,1234,0,0,2,0,3,1,8,0,NoFireplace,Attchd,RFn,2,TA,TA,Y,0,30,0,0,0,0,NoPool,NoFence,NoMiscFeature,0,WD,Normal,179900,16,0,128,0,0,0,0,0,0,0,0
RL,10552,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,NAmes,1Fam,1Story,5,Hip,CompShg,BrkFace,BrkFace,3,CBlock,TA,TA,No,Rec,1018,Unf,0,380,GasA,4,Y,SBrkr,1700,0,0,1700,0,1,1,1,4,1,8,1,Gd,Attchd,RFn,2,TA,TA,Y,0,38,0,0,0,0,NoPool,NoFence,NoMiscFeature,0,WD,Normal,165500,64,0,60,0,0,0,0,0,0,0,0
RL,7313,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,TwnhsE,1Story,5,Hip,CompShg,MetalSd,MetalSd,3,PConc,Ex,TA,No,GLQ,1153,Unf,0,408,GasA,5,Y,SBrkr,1561,0,0,1561,1,0,2,0,2,1,8,1,Gd,Attchd,Fin,2,TA,TA,Y,203,47,0,0,0,0,NoPool,NoFence,NoMiscFeature,0,WD,Normal,277500,18,0,225,0,0,0,0,0,0,0,0
RL,13418,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,1Fam,2Story,5,Gable,CompShg,VinylSd,VinylSd,3,PConc,Ex,TA,Av,Unf,0,Unf,0,1117,GasA,5,Y,SBrkr,1132,1320,0,2452,0,0,3,1,4,1,8,1,Gd,BuiltIn,Fin,3,TA,TA,Y,113,32,0,0,0,0,NoPool,NoFence,NoMiscFeature,0,WD,Normal,309000,19,1,128,0,0,0,0,0,0,0,0
RL,10859,Pave,NoAlley,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,1Fam,1Story,5,Gable,CompShg,VinylSd,VinylSd,3,PConc,Gd,TA,No,Unf,0,Unf,0,1097,GasA,5,Y,SBrkr,1097,0,0,1097,0,0,1,1,3,1,8,0,NoFireplace,Attchd,Unf,2,TA,TA,Y,392,64,0,0,0,0,NoPool,NoFence,NoMiscFeature,0,WD,Normal,145000,29,1,45,0,0,0,0,0,0,0,0
RL,8532,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1Fam,1Story,6,Hip,CompShg,Wd Sdng,Wd Sdng,3,CBlock,TA,TA,No,Rec,1213,Unf,0,84,GasA,4,Y,SBrkr,1297,0,0,1297,0,1,1,0,3,1,8,1,TA,Attchd,Fin,2,TA,TA,Y,0,0,0,0,0,0,NoPool,NoFence,NoMiscFeature,0,WD,Normal,153000,69,1,45,0,0,0,0,0,0,0,0
RL,7922,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1Fam,1Story,7,Gable,CompShg,VinylSd,VinylSd,4,CBlock,TA,TA,No,GLQ,731,Unf,0,326,GasA,3,Y,SBrkr,1057,0,0,1057,1,0,1,0,3,1,8,0,NoFireplace,Detchd,Unf,1,TA,TA,Y,0,52,0,0,0,0,NoPool,NoFence,NoMiscFeature,0,WD,Abnorml,109000,70,1,60,0,0,0,0,0,0,0,0
RL,6040,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Duplex,1Story,5,Gable,CompShg,AsbShng,Plywood,3,PConc,NoBsmt,NoBsmt,NoBsmt,NoBsmt,0,NoBsmt,0,0,GasA,3,N,FuseP,1152,0,0,1152,0,0,2,0,2,2,8,0,NoFireplace,NoGarage,NoGarage,0,NoGarage,NoGarage,N,0,0,0,0,0,0,NoPool,NoFence,NoMiscFeature,0,WD,AdjLand,82000,68,0,24,0,0,0,0,0,0,0,0
RL,8658,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1Fam,1Story,5,Gable,CompShg,Wd Sdng,Wd Sdng,3,CBlock,TA,TA,No,Rec,643,Unf,0,445,GasA,5,Y,SBrkr,1324,0,0,1324,0,0,2,0,3,1,8,1,TA,Attchd,RFn,2,TA,TA,Y,0,138,0,0,0,0,NoPool,GdWo,NoMiscFeature,0,WD,Abnorml,160000,58,0,54,0,0,0,0,0,0,0,0
RL,16905,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Timber,1Fam,1Story,6,Gable,CompShg,VinylSd,VinylSd,4,CBlock,TA,TA,Gd,BLQ,967,Unf,0,383,GasA,4,Y,SBrkr,1328,0,0,1328,0,1,1,1,2,1,8,2,Gd,Attchd,RFn,1,TA,TA,P,0,104,0,0,0,0,NoPool,NoFence,NoMiscFeature,0,WD,Normal,170000,64,0,45,0,0,0,0,0,0,0,0
RL,9180,Pave,NoAlley,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,1Fam,SFoyer,7,Gable,CompShg,HdBoard,HdBoard,3,CBlock,Gd,TA,Av,ALQ,747,LwQ,93,0,GasA,4,Y,SBrkr,884,0,0,884,1,0,1,0,2,1,8,0,NoFireplace,Attchd,RFn,2,TA,Gd,Y,240,0,0,0,0,0,NoPool,MnPrv,NoMiscFeature,0,WD,Normal,144000,40,0,60,0,0,0,0,0,0,0,0
RL,9200,Pave,NoAlley,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,1Fam,1Story,6,Hip,CompShg,VinylSd,VinylSd,3,CBlock,Gd,TA,Av,LwQ,280,BLQ,491,167,GasA,3,Y,SBrkr,938,0,0,938,1,0,1,0,3,1,8,0,NoFireplace,Detchd,Unf,1,TA,TA,Y,145,0,0,0,0,0,NoPool,MnPrv,NoMiscFeature,0,WD,Normal,130250,48,1,45,0,0,0,0,0,0,0,0
RL,7945,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1Fam,1Story,6,Gable,CompShg,BrkFace,Wd Sdng,3,CBlock,TA,TA,No,ALQ,179,BLQ,506,465,GasA,5,Y,FuseA,1150,0,0,1150,1,0,1,0,3,1,8,0,NoFireplace,Attchd,RFn,1,TA,TA,Y,0,0,0,0,0,0,NoPool,NoFence,NoMiscFeature,0,WD,Normal,141000,64,0,45,0,0,0,0,0,0,0,0
RL,7658,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,TwnhsE,1Story,5,Hip,CompShg,MetalSd,MetalSd,3,PConc,Ex,TA,No,GLQ,456,Unf,0,1296,GasA,5,Y,SBrkr,1752,0,0,1752,1,0,2,0,2,1,8,1,Gd,Attchd,RFn,2,TA,TA,Y,196,82,0,0,0,0,NoPool,NoFence,NoMiscFeature,0,WD,Normal,319900,18,0,225,0,0,0,0,0,0,0,0
RL,12822,Pave,NoAlley,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,1Fam,1.5Fin,5,Gable,CompShg,VinylSd,VinylSd,3,PConc,Ex,TA,No,GLQ,1351,Unf,0,83,GasA,5,Y,SBrkr,1518,631,0,2149,1,0,1,1,1,1,8,1,Ex,Attchd,RFn,2,TA,TA,Y,168,43,0,0,198,0,NoPool,NoFence,NoMiscFeature,0,WD,Abnorml,239686,20,0,112,0,0,0,0,0,0,0,0
FV,11096,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Somerst,1Fam,1Story,5,Gable,CompShg,VinylSd,VinylSd,3,PConc,Gd,TA,Av,GLQ,24,Unf,0,1632,GasA,5,Y,SBrkr,1656,0,0,1656,0,0,2,0,3,1,8,0,NoFireplace,Attchd,RFn,3,TA,TA,Y,0,146,0,0,0,0,NoPool,NoFence,NoMiscFeature,0,WD,Normal,249700,17,0,128,0,0,0,0,0,0,0,0
RM,4456,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,OldTown,2fmCon,2Story,5,Gable,CompShg,MetalSd,MetalSd,3,BrkTil,TA,TA,No,Unf,0,Unf,0,736,GasA,4,Y,SBrkr,736,716,0,1452,0,0,2,0,2,3,8,0,NoFireplace,NoGarage,NoGarage,0,NoGarage,NoGarage,N,0,0,102,0,0,0,NoPool,NoFence,NoMiscFeature,0,New,Partial,113000,103,1,36,0,0,0,0,0,0,0,0
RL,7742,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,1Fam,1Story,7,Gable,CompShg,HdBoard,HdBoard,3,CBlock,TA,TA,No,BLQ,763,Unf,0,192,GasA,5,Y,SBrkr,955,0,0,955,1,0,1,0,3,1,8,0,NoFireplace,Attchd,Unf,1,TA,TA,Y,0,0,0,0,0,0,NoPool,MnPrv,NoMiscFeature,0,WD,Normal,127000,57,0,45,0,0,0,0,0,0,0,0
RL,13869,Pave,NoAlley,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,1Fam,2Story,6,Gable,CompShg,VinylSd,VinylSd,3,PConc,Gd,TA,Av,GLQ,182,Unf,0,612,GasA,4,Y,SBrkr,794,676,0,1470,0,1,2,0,3,1,8,0,NoFireplace,Attchd,Fin,2,TA,TA,Y,0,75,0,0,0,0,NoPool,NoFence,NoMiscFeature,0,WD,Normal,177000,26,0,54,0,0,0,0,0,0,0,0
RM,6240,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,1Fam,1.5Fin,6,Gable,CompShg,Wd Sdng,Wd Sdng,3,PConc,TA,TA,No,Unf,0,Unf,0,816,GasA,3,Y,SBrkr,816,0,360,1176,0,0,1,0,3,1,8,1,Gd,Detchd,Unf,2,TA,TA,Y,112,0,0,0,0,0,NoPool,MnPrv,Shed,400,WD,Normal,114500,89,1,54,0,0,0,0,0,0,0,0
RM,8472,Grvl,NoAlley,IR2,Bnk,AllPub,Corner,Mod,IDOTRR,Duplex,1Story,5,Gable,CompShg,Wd Sdng,Wd Sdng,3,CBlock,Gd,TA,Gd,LwQ,104,GLQ,712,0,GasA,3,N,SBrkr,816,0,0,816,1,0,1,0,2,1,8,0,NoFireplace,CarPort,Unf,2,TA,TA,Y,106,0,0,0,0,0,NoPool,NoFence,NoMiscFeature,0,WD,Normal,110000,60,0,30,0,0,1,0,0,0,0,0
